SectionName,SectionOrder,ExerciseName,MuscleGroup,MovementPattern,Category,EquipmentType,IsUnilateral,IsTimed,ID,PrimaryDetail,SecondaryDetail,Laterality,ShoulderSafetyNotes,Notes,OriginalName,StandardName
ExerciseLibrary,2,Neutral Grip Seated 2 Arm Row,,Pull,Compound,,,,EX-NGSR,Back,Biceps; Forearms,Bilateral,Well tolerated,Seated cable row with neutral grip attachment  ,,
ExerciseLibrary,2,Pallof Press,,Core,Core,,,,EX-PP,Core,Obliques,Bilateral,Well tolerated; left side requires more anti-rotation effort,Anti-rotation cable press  ,,
ExerciseLibrary,2,Pec Fly,,Push,Isolation,,,,EX-PF,Chest,Anterior Delts,Bilateral,Right sensitive with quick movement,Machine pec fly  ,,
ExerciseLibrary,2,Plate Loaded Seated Row,,Pull,Compound,,,,EX-PLSR,Back,Biceps; Forearms,Bilateral,Well tolerated,Plate-loaded seated row machine  ,,
ExerciseLibrary,2,Plate Pinch,,Hold,Hold,,,,EX-PPC,Forearms,Fingers,Bilateral,Well tolerated,Pinch grip hold with weight plates  ,,
ExerciseLibrary,2,Prisoners Squat,,Squat,Warmup,,,,EX-PS,Quads,Glutes; Core,Bilateral,Well tolerated,Bodyweight squat with hands behind head  ,,
ExerciseLibrary,2,Push-up,,Push,Compound,,,,EX-PU,Chest,Triceps; Anterior Delts; Core,Bilateral,Little anterior right tightness on lowering,Full push-up from toes  ,,
ExerciseLibrary,2,Push-up On Knees,,Push,Compound,,,,EX-PUK,Chest,Triceps; Anterior Delts; Core,Bilateral,Well tolerated,Modified push-up from knees  ,,
ExerciseLibrary,2,Rear Delt Cable Fly,,Pull,Isolation,,,,EX-RDCF,Rear Delts,Rhomboids; Traps,Bilateral,Well tolerated,Standing cable rear delt fly  ,,
ExerciseLibrary,2,Reverse Lunge,,Squat,Compound,,,,EX-RL,Quads,Glutes; Hamstrings,Alternating,Well tolerated,Reverse stepping lunge  ,,
ExerciseLibrary,2,Rope Push-Downs,,Isolation,Isolation,,,,EX-RPD,Triceps,Forearms,Bilateral,Well tolerated,Rope attachment pushdown  ,,
ExerciseLibrary,2,Rowing,,Cardio,Cardio,,,,EX-ROW,Full Body,Legs; Back; Arms,Bilateral,Well tolerated,Concept2 or similar rowing ergometer  ,,
ExerciseLibrary,2,Scap Push Ups,,Mobility,Warmup,,,,EX-SPU,Serratus Anterior,Shoulders,Bilateral,Well tolerated,Scapular protraction/retraction from push-up position  ,,
ExerciseLibrary,2,Seat Cable Row (V / Narrow Neutral Grip),,Pull,Compound,,,,EX-SCVNGR,Back,Biceps; Forearms,Bilateral,Well tolerated,V-grip narrow neutral cable row  ,,
ExerciseLibrary,2,Seated Calf Raise,,Isolation,Isolation,,,,EX-SECR,Calves,None,Bilateral,Well tolerated,Seated calf raise machine  ,,
ExerciseLibrary,2,Seated Neutral Grip DB Overhead Press,,Push,Compound,,,,EX-SNGDBOP,Shoulders,Triceps; Upper Chest,Bilateral,Subtle anterior capsule awareness on descending; tolerance improving,Seated dumbbell overhead press with neutral grip  ,,
ExerciseLibrary,2,Seated Single Arm DB Curl - Anchored,,Isolation,Isolation,,,,EX-SADBC-A,Biceps,Forearms; Brachialis,Unilateral,Well tolerated,Seated single-arm curl with opposite hand anchored  ,,
ExerciseLibrary,2,Serratus Wall Slides (banded),,Mobility,Warmup,,,,EX-SWS,Serratus Anterior,Shoulders; Traps,Bilateral,Well tolerated,Wall slide with band around wrists  ,,
ExerciseLibrary,2,Side Plank,,Core,Core,,,,EX-SP,Obliques,Core; Shoulders,Unilateral,Right shoulder feels looser than left on elbow; palm better tolerated,Isometric lateral core stability  ,,
ExerciseLibrary,2,Single Arm Cable Extensions,,Isolation,Isolation,,,,EX-SACE,Triceps,None,Unilateral,Well tolerated,General single arm cable extension  ,,
ExerciseLibrary,2,Single Arm Cable Press,,Push,Compound,,,,EX-SACP,Chest,Triceps; Anterior Delts; Core,Unilateral,Right extension not as strong as left; some trap recruitment,Single arm cable press in split stance  ,,
ExerciseLibrary,2,Single Arm Cable Press (split stance),,Push,Compound,,,,EX-SACPSS,Chest,Triceps; Anterior Delts; Core,Unilateral,Right extension not as strong as left,Split stance variant  ,,
ExerciseLibrary,2,Single Arm Rope Curl (extended Arm Position),,Isolation,Isolation,,,,EX-SARCC,Biceps,Brachialis; Forearms,Unilateral,Well tolerated,Single arm cable curl with rope grip  ,,
ExerciseLibrary,2,Single-Arm Cable Row (Split Stance),,Pull,Compound,,,,EX-SACRS,Back,Core; Biceps; Forearms,Unilateral,Well tolerated,Split stance cable row  ,,
ExerciseLibrary,2,Single-Arm Cable Triceps Extension (Cross-Body),,Isolation,Isolation,,,,EX-SACTE-CB,Triceps,None,Unilateral,Well tolerated,Cross body cable tricep extension  ,,
ExerciseLibrary,2,Single-Arm DB Balance Press,,Push,Compound,,,,EX-SADBP,Chest,Triceps; Stabilizers; Core,Unilateral,Well tolerated,Single arm DB balance press  ,,
ExerciseLibrary,2,Single-Arm Neutral Grip Cable Pulldown,,Pull,Compound,,,,EX-SANGCP,Lats,Biceps; Forearms; Rear Delts,Unilateral,Slight lean back eliminates anterior capsule awareness,Primary lat exercise from Phase 3 onward  ,,
ExerciseLibrary,2,Single-Arm Overhead Cable Extension,,Isolation,Isolation,,,,EX-SAOCE,Triceps,None,Unilateral,Feels good on anterior capsule; seems to loosen it,Single arm overhead cable extension  ,,
ExerciseLibrary,2,Single-Arm Vertical Plate Balance Press,,Push,Compound,,,,EX-SAVPBP,Chest,Triceps; Stabilizers; Core,Unilateral,Left has more control than right,Vertical plate balance floor press  ,,
ExerciseLibrary,2,Smith Machine Bench Press,,Push,Compound,,,,EX-SMBP,Chest,Triceps; Anterior Delts,Bilateral,Right anterior capsule tightness; monitor closely,Used in Phases 3-4  ,,
ExerciseLibrary,2,Smith Machine Split Squat (rear foot elevated optional),,Squat,Compound,,,,EX-SMSSQ,Quads,Glutes; Hamstrings; Core,Unilateral,Well tolerated,Smith machine split squat  ,,
ExerciseLibrary,2,Standing Calf Raise,,Isolation,Isolation,,,,EX-SCR,Calves,None,Bilateral,Well tolerated,Smith machine or barbell calf raise  ,,
ExerciseLibrary,2,Standing One Arm Bicep Curl with Cable (Anchored),,Isolation,Isolation,,,,EX-SOABCC,Biceps,Forearms; Brachialis,Unilateral,Well tolerated,Cable curl with elbow anchored  ,,
ExerciseLibrary,2,Standing One Arm Extended Cable Curls,,Isolation,Isolation,,,,EX-SOAECC,Biceps,Forearms; Brachialis,Unilateral,Well tolerated,Cable curl with arm extended behind body  ,,
ExerciseLibrary,2,Standing Single Arm Cable Curl,,Isolation,Isolation,,,,EX-SACCC,Biceps,Forearms; Brachialis,Unilateral,Well tolerated,Standard single arm cable curl  ,,
ExerciseLibrary,2,Standing Single Arm Extension (D-Grip),,Isolation,Isolation,,,,EX-SASED,Triceps,None,Unilateral,Well tolerated,D-grip single arm cable extension  ,,
ExerciseLibrary,2,Suitcase Carries,,Carry,Carry,,,,EX-SC,Forearms,Obliques; Core; Traps,Unilateral,Well tolerated,Single-side carry emphasizing anti-lateral flexion  ,,
ExerciseLibrary,2,Suitcase Holds,,Hold,Hold,,,,EX-SH,Forearms,Obliques; Core,Unilateral,,Static hold version of suitcase carry  ,,
ExerciseLibrary,2,Supine Press Machine - Plate Loaded (Planet Fitness),,Push,Compound,,,,EX-SPML,Chest,Triceps; Anterior Delts,Bilateral,Some right capsule tightness at higher weights,Planet Fitness specific plate-loaded press  ,,
ExerciseLibrary,2,Tibia Flex,,Isolation,Isolation,,,,EX-TF,Tibialis Anterior,None,Bilateral,Well tolerated,Plate on toe tibialis anterior flexion  ,,
ExerciseLibrary,2,Treadmill Walking,,Cardio,Cardio,,,,EX-TW,Full Body,Legs; Core,Bilateral,Well tolerated,Treadmill walking at various inclines  ,,
ExerciseLibrary,2,Vertical DB Scap extension,,Mobility,Rehab,,,,EX-VDBSE,Serratus Anterior,Shoulders,Bilateral,Well tolerated,Vertical dumbbell or plate scapular extension  ,,
ExerciseLibrary,2,Walking Lunges,,Squat,Compound,,,,EX-WL,Quads,Glutes; Hamstrings; Calves,Alternating,Well tolerated,Walking lunge with dumbbells or kettlebell  ,,
